Crop,Total,InitialStage,CropDevelopmentStage,MidSeasonStage,LateSeasonStage
Barley,120,15,25,50,30
Bean,75,15,25,25,10
Bean,95,15,25,35,20
Cabbage,120,20,25,60,15
Carrot,100,20,30,30,20
Cotton,180,30,50,55,45
Cucumber,105,20,30,40,15
Eggplant,130,30,40,40,20
Grain,150,20,30,60,40
Lentil,150,20,30,60,40
Lettuce,75,20,30,15,10
Maize,80,20,25,25,10
Maize,125,20,35,40,30
Melon,120,25,35,40,20
Millet,105,15,25,40,25
Onion,70,25,30,10,5
Onion,150,15,25,70,40
Peanut,130,25,35,45,25
Pea,90,15,25,35,15
Pepper,120,25,35,40,20
Potato,105,25,30,30,20
Radish,35,5,10,15,5
Sorghum,120,20,30,40,30
Soybean,135,20,30,60,25
Spinach,60,20,20,15,5
Squash,95,20,30,30,15
Sugarbeet,160,25,35,60,40
Sunflower,125,20,35,45,25
Tomato,135,30,40,40,25
