Latitude,CardinalPoint,Month,pValue  
60,North,Jan,0.15
55,North,Jan,0.17
50,North,Jan,0.19
45,North,Jan,0.2
40,North,Jan,0.22
35,North,Jan,0.23
30,North,Jan,0.24
25,North,Jan,0.24
20,North,Jan,0.25
15,North,Jan,0.26
10,North,Jan,0.26
5,North,Jan,0.27
0,North,Jan,0.27
60,South,Jan,0.4
55,South,Jan,0.38
50,South,Jan,0.35
45,South,Jan,0.34
40,South,Jan,0.33
35,South,Jan,0.32
30,South,Jan,0.31
25,South,Jan,0.31
20,South,Jan,0.3
15,South,Jan,0.29
10,South,Jan,0.29
5,South,Jan,0.28
0,South,Jan,0.27
60,North,Feb,0.2
55,North,Feb,0.21
50,North,Feb,0.23
45,North,Feb,0.23
40,North,Feb,0.24
35,North,Feb,0.25
30,North,Feb,0.25
25,North,Feb,0.26
20,North,Feb,0.26
15,North,Feb,0.26
10,North,Feb,0.27
5,North,Feb,0.27
0,North,Feb,0.27
60,South,Feb,0.34
55,South,Feb,0.33
50,South,Feb,0.32
45,South,Feb,0.32
40,South,Feb,0.31
35,South,Feb,0.3
30,South,Feb,0.3
25,South,Feb,0.29
20,South,Feb,0.29
15,South,Feb,0.28
10,South,Feb,0.28
5,South,Feb,0.28
0,South,Feb,0.27
60,North,March,0.26
55,North,March,0.26
50,North,March,0.27
45,North,March,0.27
40,North,March,0.27
35,North,March,0.27
30,North,March,0.27
25,North,March,0.27
20,North,March,0.27
15,North,March,0.27
10,North,March,0.27
5,North,March,0.27
0,North,March,0.27
60,South,March,0.28
55,South,March,0.28
50,South,March,0.28
45,South,March,0.28
40,South,March,0.28
35,South,March,0.28
30,South,March,0.28
25,South,March,0.28
20,South,March,0.28
15,South,March,0.28
10,South,March,0.28
5,South,March,0.28
0,South,March,0.27
60,North,April,0.32
55,North,April,0.32
50,North,April,0.31
45,North,April,0.3
40,North,April,0.3
35,North,April,0.29
30,North,April,0.29
25,North,April,0.29
20,North,April,0.28
15,North,April,0.28
10,North,April,0.28
5,North,April,0.28
0,North,April,0.27
60,South,April,0.22
55,South,April,0.23
50,South,April,0.24
45,South,April,0.24
40,South,April,0.25
35,South,April,0.25
30,South,April,0.26
25,South,April,0.26
20,South,April,0.26
15,South,April,0.27
10,South,April,0.27
5,South,April,0.27
0,South,April,0.27
60,North,May,0.38
55,North,May,0.36
50,North,May,0.34
45,North,May,0.34
40,North,May,0.32
35,North,May,0.31
30,North,May,0.31
25,North,May,0.3
20,North,May,0.29
15,North,May,0.29
10,North,May,0.28
5,North,May,0.28
0,North,May,0.27
60,South,May,0.17
55,South,May,0.18
50,South,May,0.2
45,South,May,0.21
40,South,May,0.22
35,South,May,0.23
30,South,May,0.24
25,South,May,0.25
20,South,May,0.25
15,South,May,0.26
10,South,May,0.26
5,South,May,0.27
0,South,May,0.27
60,North,June,0.41
55,North,June,0.39
50,North,June,0.36
45,North,June,0.35
40,North,June,0.34
35,North,June,0.32
30,North,June,0.32
25,North,June,0.31
20,North,June,0.3
15,North,June,0.29
10,North,June,0.29
5,North,June,0.28
0,North,June,0.27
60,South,June,0.13
55,South,June,0.16
50,South,June,0.18
45,South,June,0.2
40,South,June,0.21
35,South,June,0.22
30,South,June,0.23
25,South,June,0.24
20,South,June,0.25
15,South,June,0.25
10,South,June,0.26
5,South,June,0.27
0,South,June,0.27
60,North,July,0.4
55,North,July,0.38
50,North,July,0.35
45,North,July,0.34
40,North,July,0.33
35,North,July,0.32
30,North,July,0.31
25,North,July,0.31
20,North,July,0.3
15,North,July,0.29
10,North,July,0.29
5,North,July,0.28
0,North,July,0.27
60,South,July,0.15
55,South,July,0.17
50,South,July,0.19
45,South,July,0.2
40,South,July,0.22
35,South,July,0.23
30,South,July,0.24
25,South,July,0.24
20,South,July,0.25
15,South,July,0.26
10,South,July,0.26
5,South,July,0.27
0,South,July,0.27
60,North,August,0.34
55,North,August,0.33
50,North,August,0.32
45,North,August,0.32
40,North,August,0.31
35,North,August,0.3
30,North,August,0.3
25,North,August,0.29
20,North,August,0.29
15,North,August,0.28
10,North,August,0.28
5,North,August,0.28
0,North,August,0.27
60,South,August,0.2
55,South,August,0.21
50,South,August,0.23
45,South,August,0.23
40,South,August,0.24
35,South,August,0.25
30,South,August,0.25
25,South,August,0.26
20,South,August,0.26
15,South,August,0.26
10,South,August,0.27
5,South,August,0.27
0,South,August,0.27
60,North,September,0.28
55,North,September,0.28
50,North,September,0.28
45,North,September,0.28
40,North,September,0.28
35,North,September,0.28
30,North,September,0.28
25,North,September,0.28
20,North,September,0.28
15,North,September,0.28
10,North,September,0.28
5,North,September,0.28
0,North,September,0.27
60,South,September,0.26
55,South,September,0.26
50,South,September,0.27
45,South,September,0.27
40,South,September,0.27
35,South,September,0.27
30,South,September,0.27
25,South,September,0.27
20,South,September,0.27
15,South,September,0.27
10,South,September,0.27
5,South,September,0.27
0,South,September,0.27
60,North,October,0.22
55,North,October,0.23
50,North,October,0.24
45,North,October,0.24
40,North,October,0.25
35,North,October,0.25
30,North,October,0.26
25,North,October,0.26
20,North,October,0.26
15,North,October,0.27
10,North,October,0.27
5,North,October,0.27
0,North,October,0.27
60,South,October,0.32
55,South,October,0.32
50,South,October,0.31
45,South,October,0.3
40,South,October,0.3
35,South,October,0.29
30,South,October,0.29
25,South,October,0.29
20,South,October,0.28
15,South,October,0.28
10,South,October,0.28
5,South,October,0.28
0,South,October,0.27
60,North,November,0.17
55,North,November,0.18
50,North,November,0.2
45,North,November,0.21
40,North,November,0.22
35,North,November,0.23
30,North,November,0.24
25,North,November,0.25
20,North,November,0.25
15,North,November,0.26
10,North,November,0.26
5,North,November,0.27
0,North,November,0.27
60,South,November,0.38
55,South,November,0.36
50,South,November,0.34
45,South,November,0.34
40,South,November,0.32
35,South,November,0.31
30,South,November,0.31
25,South,November,0.3
20,South,November,0.29
15,South,November,0.29
10,South,November,0.28
5,South,November,0.28
0,South,November,0.27
60,North,December,0.13
55,North,December,0.16
50,North,December,0.18
45,North,December,0.2
40,North,December,0.21
35,North,December,0.22
30,North,December,0.23
25,North,December,0.24
20,North,December,0.25
15,North,December,0.25
10,North,December,0.26
5,North,December,0.27
0,North,December,0.27
60,South,December,0.41
55,South,December,0.39
50,South,December,0.36
45,South,December,0.35
40,South,December,0.34
35,South,December,0.32
30,South,December,0.32
25,South,December,0.31
20,South,December,0.3
15,South,December,0.29
10,South,December,0.29
5,South,December,0.28
0,South,December,0.27
